2me4p	cpd08286
4c2me	cpd08287
2p4c2me	cpd08288
dxyl5p	cpd08289
2mecdp	cpd08301
ctbt	cpd08305
h2mb4p	cpd08615
sula	cpd09878
fe2	cpd10515
fe3	cpd10516
db4p	cpd11225
12d3k5m	cpd11255
dkmpp	cpd11295
2h3k5m	cpd11296
hemeA	cpd11312
hemeO	cpd11313
trdox	cpd11420
trdrd	cpd11421
2dmmq7	cpd11425
fa1	cpd11430
fa11	cpd11431
fa12	cpd11433
fa3	cpd11436
fa4	cpd11438
fa6	cpd11440
mql7	cpd11451
tcam_BS	cpd11459
ACP	cpd11493
mobd	cpd11574
mops	cpd11575
metox-R	cpd11576
lanth	cpd11577
hexs	cpd11578
eths	cpd11579
gly-gln-L	cpd11580
gly-asn-L	cpd11581
ala-L-Thr-L	cpd11582
ala-L-leu-L	cpd11583
ala-L-his-L	cpd11584
L-alagly	cpd11585
ala-L-glu-L	cpd11586
ala-L-gln-L	cpd11587
gly-pro-L	cpd11588
gly-asp-L	cpd11589
met-L-ala-L	cpd11590
gly-met-L	cpd11591
gly-glu-L	cpd11592
ala-L-asp-L	cpd11593
dextrin	cpd11594
cro4	cpd11595
buts	cpd11596
arsenb	cpd11597
antim	cpd11598
3amba	cpd11599
mqn7	cpd11606
pencil	cpd11668
14glun	cpd11735
trnaglu	cpd11912
Larab	cpd12115
glutrna	cpd12227
apoACP	cpd12370
3otdcoa	cpd12689
pencilca	cpd12884
hemeC	cpd14553
hdcea	cpd15237
hdcoa	cpd15238
ocdcea	cpd15269
odecoa	cpd15274
glycogenb	cpd15302
gbbtn	cpd15471
madg	cpd15584
mbdg	cpd15585
DPA	cpd15596
hemeD	cpd15607
hxal	cpd15611
teich-45_BS	cpd15634
